team_name,adjO,adjD,Source,conference,win_rate,strength_rating,schedule_strength,momentum_score
Morgan State,100,100,Sports-Reference,MEAC,0.316,0.308,0.497,0.3
Mount St. Mary's,100,100,Sports-Reference,MAAC,0.381,0.31,0.507,-0.1
Murray State,100,100,Sports-Reference,MVC,0.8,0.667,0.57,-0.1
Navy,100,100,Sports-Reference,,,,,
NC State,100,100,Sports-Reference,ACC,0.684,0.542,0.753,0.15
Nebraska,100,100,Sports-Reference,Big Ten,1,0.972,0.8,1
Nevada,100,100,Sports-Reference,Mountain West,0.737,0.593,0.561,0.3
New Hampshire,100,100,Sports-Reference,Mountain West,0.789,0.619,0.568,0.15
New Mexico,100,100,Sports-Reference,Mountain West,0.789,0.619,0.568,0.15
New Mexico State,100,100,Sports-Reference,Mountain West,0.789,0.619,0.568,0.15
Niagara,100,100,Sports-Reference,MAAC,0.263,0.198,0.489,-0.2
Nicholls State,100,100,Sports-Reference,Southland,0.421,0.42,0.513,-0.3
Norfolk State,100,100,Sports-Reference,MEAC,0.429,0.364,0.514,0.3
North Carolina,100,100,Sports-Reference,ACC,0.789,0.656,0.768,0.15
North Carolina A&T,100,100,NCAA Hardcoded,ACC,0.789,0.656,0.768,0.15
North Carolina Central,100,100,Sports-Reference,ACC,0.789,0.656,0.768,0.15
North Dakota,100,100,Sports-Reference,ACC,0.789,0.656,0.768,0.15
North Dakota State,100,100,Sports-Reference,ACC,0.789,0.656,0.768,0.15
North Texas,100,100,Sports-Reference,ACC,0.789,0.656,0.768,0.15
Northeastern,100,100,Sports-Reference,Coastal,0.316,0.233,0.497,-0.2
Northern Arizona,100,100,Sports-Reference,Horizon League,0.667,0.514,0.55,-0.1
Northern Colorado,100,100,Sports-Reference,Horizon League,0.667,0.514,0.55,-0.1
Northern Illinois,100,100,Sports-Reference,Horizon League,0.667,0.514,0.55,-0.1
Northern Kentucky,100,100,Sports-Reference,Horizon League,0.667,0.514,0.55,-0.1
Northwestern,100,100,Sports-Reference,Southland,0.316,0.278,0.497,-0.2
Northwestern State,100,100,Sports-Reference,Southland,0.316,0.278,0.497,-0.2
Notre Dame,100,100,Sports-Reference,ACC,0.526,0.313,0.729,-0.5
Oakland,100,100,Sports-Reference,Horizon League,0.524,0.472,0.529,-0.1
Ohio State,100,100,Sports-Reference,,,,,
Ohio University,100,100,NCAA Hardcoded,,,,,
Oklahoma,100,100,Sports-Reference,SEC,0.579,0.339,0.737,-0.5
Oklahoma State,100,100,Sports-Reference,SEC,0.579,0.339,0.737,-0.5
Old Dominion,100,100,Sports-Reference,Sun Belt,0.286,0.243,0.493,-0.1
Oral Roberts,100,100,Sports-Reference,Summit League,0.238,0.119,0.486,-0.5
Oregon,100,100,Sports-Reference,Big Ten,0.421,0.248,0.713,0.15
Oregon State,100,100,Sports-Reference,Big Ten,0.421,0.248,0.713,0.15
Pacific,100,100,Sports-Reference,West Coast,0.619,0.46,0.743,0.15
Penn State,100,100,Sports-Reference,,,,,
Pennsylvania,100,100,Sports-Reference,Ivy League,0.529,0.414,0.529,-0.1
Pittsburgh,100,100,Sports-Reference,ACC,0.421,0.261,0.713,-0.2
Prairie View,100,100,Sports-Reference,SWAC,0.421,0.36,0.513,-0.2
Prairie View A&M,100,100,NCAA Hardcoded,SWAC,0.421,0.36,0.513,-0.2
Princeton,100,100,Sports-Reference,Ivy League,0.316,0.308,0.497,-0.2
Providence,100,100,Sports-Reference,,,,,
Purdue,100,100,Sports-Reference,Big Ten,0.895,0.894,0.784,-0.1
Purdue Fort Wayne,100,100,Sports-Reference,Big Ten,0.895,0.894,0.784,-0.1
Quinnipiac,100,100,Sports-Reference,MAAC,0.667,0.543,0.55,0.3
Radford,100,100,Sports-Reference,Big South,0.524,0.462,0.529,-0.1
Rhode Island,100,100,Sports-Reference,Atlantic 10,0.526,0.363,0.529,-0.1
Rice,100,100,Sports-Reference,,,,,
Richmond,100,100,Sports-Reference,Atlantic 10,0.65,0.454,0.547,-0.2
Rider,100,100,Sports-Reference,MAAC,0.111,0.089,0.467,-0.2
Robert Morris,100,100,Sports-Reference,Horizon League,0.619,0.46,0.543,0.3
Rutgers,100,100,Sports-Reference,,,,,
Sacramento State,100,100,Sports-Reference,Big Sky,0.333,0.267,0.5,-0.1
Sacred Heart,100,100,Sports-Reference,MAAC,0.381,0.31,0.507,0.45
Saint Francis,100,100,NCAA Hardcoded,Atlantic 10,0.947,0.877,0.592,1
Saint Joseph's,100,100,Sports-Reference,Atlantic 10,0.947,0.877,0.592,1
Saint Louis,100,100,Sports-Reference,Atlantic 10,0.947,0.877,0.592,1
Saint Mary's,100,100,NCAA Hardcoded,Atlantic 10,0.947,0.877,0.592,1
Sam Houston State,100,100,NCAA Hardcoded,Conference USA,0.632,0.466,0.545,0.45
Samford,100,100,Sports-Reference,Southern,0.45,0.311,0.518,-0.4
San Diego,100,100,Sports-Reference,Mountain West,0.722,0.623,0.558,-0.1
San Diego State,100,100,Sports-Reference,Mountain West,0.722,0.623,0.558,-0.1
San Jose State,100,100,Sports-Reference,Mountain West,0.722,0.623,0.558,-0.1
Santa Clara,100,100,Sports-Reference,West Coast,0.762,0.643,0.764,0.45
Savannah State,100,100,Sports-Reference,,,,,
Seton Hall,100,100,Sports-Reference,Big East,0.737,0.714,0.761,-0.3
Siena,100,100,Sports-Reference,MAAC,0.667,0.543,0.55,0.45
SIU Edwardsville,100,100,NCAA Hardcoded,,,,,
SMU,100,100,NCAA Hardcoded,ACC,0.737,0.518,0.761,0.15
South Alabama,100,100,Sports-Reference,Sun Belt,0.7,0.537,0.555,0.15
South Carolina,100,100,Sports-Reference,Sun Belt,0.7,0.537,0.555,0.15
South Dakota,100,100,Sports-Reference,Sun Belt,0.7,0.537,0.555,0.15
South Dakota State,100,100,Sports-Reference,Sun Belt,0.7,0.537,0.555,0.15
South Florida,100,100,Sports-Reference,Sun Belt,0.7,0.537,0.555,0.15
Southeast Missouri,100,100,NCAA Hardcoded,,,,,
Southeastern Louisiana,100,100,Sports-Reference,,,,,
Southern Illinois,100,100,Sports-Reference,Western Athletic,0.35,0.304,0.503,0.45
Southern Methodist,100,100,Sports-Reference,Western Athletic,0.35,0.304,0.503,0.45
Southern Miss,100,100,NCAA Hardcoded,Western Athletic,0.35,0.304,0.503,0.45
Southern Mississippi,100,100,Sports-Reference,Western Athletic,0.35,0.304,0.503,0.45
Southern University,100,100,NCAA Hardcoded,Western Athletic,0.35,0.304,0.503,0.45
Southwestern Louisiana,100,100,NCAA Hardcoded,,,,,
St. Bonaventure,100,100,Sports-Reference,Atlantic 10,0.632,0.366,0.545,0.15
St. John's,100,100,NCAA Hardcoded,Atlantic 10,0.632,0.366,0.545,0.15
Stanford,100,100,Sports-Reference,ACC,0.737,0.518,0.761,-0.1
Stephen F. Austin,100,100,Sports-Reference,Southland,0.842,0.691,0.576,0.6
Stetson,100,100,Sports-Reference,ASUN,0.35,0.304,0.503,-0.2
Stony Brook,100,100,Sports-Reference,Coastal,0.571,0.435,0.536,0.45
Syracuse,100,100,Sports-Reference,ACC,0.632,0.466,0.745,-0.2
TCU,100,100,Sports-Reference,Big 12,0.778,0.539,0.767,-0.2
Temple,100,100,Sports-Reference,,,,,
Tennessee,100,100,Sports-Reference,SEC,0.579,0.44,0.737,-0.1
Tennessee State,100,100,Sports-Reference,SEC,0.579,0.44,0.737,-0.1
Tennessee Tech,100,100,Sports-Reference,SEC,0.579,0.44,0.737,-0.1
Tennessee-Martin,100,100,Sports-Reference,,,,,
Texas,100,100,Sports-Reference,Big 12,0.789,0.797,0.768,0.6
Texas A&M,100,100,NCAA Hardcoded,Big 12,0.789,0.797,0.768,0.6
Texas A&M-Corpus Christi,100,100,NCAA Hardcoded,Big 12,0.789,0.797,0.768,0.6
Texas Christian,100,100,NCAA Hardcoded,Big 12,0.789,0.797,0.768,0.6
Texas Southern,100,100,Sports-Reference,Big 12,0.789,0.797,0.768,0.6
Texas State,100,100,Sports-Reference,Big 12,0.789,0.797,0.768,0.6
Texas Tech,100,100,Sports-Reference,Big 12,0.789,0.797,0.768,0.6
Texas-Arlington,100,100,NCAA Hardcoded,,,,,
Texas-San Antonio,100,100,NCAA Hardcoded,,,,,
The Citadel,100,100,Sports-Reference,,,,,
Toledo,100,100,Sports-Reference,,,,,
Towson,100,100,Sports-Reference,Coastal,0.571,0.435,0.536,0.6
Troy,100,100,Sports-Reference,Sun Belt,0.7,0.613,0.555,0.6
Tulane,100,100,Sports-Reference,,,,,
Tulsa,100,100,Sports-Reference,American,0.842,0.621,0.576,0.45
UAB,100,100,Sports-Reference,,,,,
UAlbany,100,100,NCAA Hardcoded,America East,0.35,0.355,0.503,-0.1
UCLA,100,100,Sports-Reference,,,,,
UConn,100,100,NCAA Hardcoded,Big East,0.947,0.954,0.792,1
ULM,100,100,NCAA Hardcoded,,,,,
UMBC,100,100,NCAA Hardcoded,America East,0.611,0.545,0.542,0.3
UNC-Asheville,100,100,NCAA Hardcoded,,,,,
UNC-Wilmington,100,100,NCAA Hardcoded,,,,,
UNCG,100,100,NCAA Hardcoded,,,,,
UNI,100,100,NCAA Hardcoded,,,,,
UNLV,100,100,NCAA Hardcoded,Mountain West,0.556,0.492,0.533,0.45
USC,100,100,NCAA Hardcoded,,,,,
UT Martin,100,100,NCAA Hardcoded,Western Athletic,0.684,0.556,0.553,0.15
UTA,100,100,NCAA Hardcoded,,,,,
Utah,100,100,Sports-Reference,Mountain West,0.833,0.641,0.575,-0.2
Utah State,100,100,Sports-Reference,Mountain West,0.833,0.641,0.575,-0.2
UTEP,100,100,Sports-Reference,Conference USA,0.368,0.296,0.505,0.15
UTRGV,100,100,NCAA Hardcoded,,,,,
Vanderbilt,100,100,Sports-Reference,SEC,0.842,0.711,0.776,-0.3
VCU,100,100,NCAA Hardcoded,ACC,0.684,0.542,0.753,0.3
Vermont,100,100,Sports-Reference,,,,,
Villanova,100,100,Sports-Reference,Big East,0.789,0.619,0.768,0.15
Virginia,100,100,Sports-Reference,ACC,0.889,0.839,0.783,0.75
Virginia Tech,100,100,Sports-Reference,ACC,0.889,0.839,0.783,0.75
Wake Forest,100,100,Sports-Reference,ACC,0.579,0.389,0.737,-0.1
Washington,100,100,Sports-Reference,West Coast,0.381,0.303,0.707,-0.4
Washington State,100,100,Sports-Reference,West Coast,0.381,0.303,0.707,-0.4
Weber State,100,100,Sports-Reference,Big Sky,0.5,0.421,0.525,-0.2
West Carolina,100,100,NCAA Hardcoded,Big 12,0.684,0.542,0.753,0.3
West Virginia,100,100,Sports-Reference,Big 12,0.684,0.542,0.753,0.3
Western Carolina,100,100,Sports-Reference,Conference USA,0.579,0.44,0.537,-0.2
Western Illinois,100,100,Sports-Reference,Conference USA,0.579,0.44,0.537,-0.2
Western Kentucky,100,100,Sports-Reference,Conference USA,0.579,0.44,0.537,-0.2
Western Michigan,100,100,Sports-Reference,Conference USA,0.579,0.44,0.537,-0.2
Wichita State,100,100,Sports-Reference,American,0.6,0.471,0.54,0.3
William & Mary,100,100,NCAA Hardcoded,Coastal,0.684,0.513,0.553,0.3
Winthrop,100,100,Sports-Reference,Big South,0.636,0.575,0.545,0.9
Wisconsin,100,100,Sports-Reference,,,,,
Wisconsin-Green Bay,100,100,NCAA Hardcoded,,,,,
Wisconsin-Milwaukee,100,100,NCAA Hardcoded,,,,,
Wofford,100,100,Sports-Reference,Southern,0.65,0.539,0.547,0.3
Wright State,100,100,Sports-Reference,Horizon League,0.6,0.533,0.54,-0.1
Wyoming,100,100,Sports-Reference,Mountain West,0.579,0.364,0.537,-0.4
Xavier,100,100,Sports-Reference,,,,,
Yale,100,100,Sports-Reference,Ivy League,0.824,0.637,0.574,0.3
Youngstown State,100,100,Sports-Reference,Horizon League,0.476,0.328,0.521,0.15
Brooke,100,100,Manual D1 List,,,,,
McNeese,100,100,Manual D1 List,Southland,0.789,0.635,0.568,0.15
Michigan Tech,100,100,Manual D1 List,Big Ten,0.944,0.922,0.792,0.45
Murray,100,100,Manual D1 List,MVC,0.8,0.667,0.57,-0.1
St. Peter's,100,100,Manual D1 List,Atlantic 10,0.632,0.366,0.545,0.15
VMI,100,100,Manual D1 List,Southern,0.3,0.193,0.495,-0.5
